Student Id,Country code,Enrolled Year,Age,Gender,Experienced,Course code,Engagement Month,Engagement Year,Engagement Type
1,IN,10,2015,60,F,false,JMC,DECEMBER,2018,Lecture 13
1,IN,10,2015,60,F,false,PYC,DECEMBER,2017,Lecture 14
2,IN,2,2022,58,U,true,JMC,OCTOBER,2024,Lecture 10
2,IN,2,2022,58,U,true,PYC,MARCH,2022,Lecture 5
3,US,3,2019,82,U,false,JMC,JANUARY,2020,Lecture 7
3,US,3,2019,82,U,false,PYC,MARCH,2021,Lecture 3
4,US,9,2018,65,F,false,JMC,MAY,2020,Lecture 12
4,US,9,2018,65,F,false,PYC,JULY,2021,Lecture 4
5,US,9,2019,73,M,false,JMC,MARCH,2023,Lecture 3
5,US,9,2019,73,M,false,PYC,JUNE,2024,Lecture 9
